Type;Cote;Disponibilité;Fond;Titre;Auteur;Date;Édition;Tome;Thème général;Thème particulier;Résumé;Recollage
Livre;FL 394 2 Fet;Empruntable;Local;FÊTES ET SPECTACLES DANS LES DEUX-SÈVRES 1870-1914;Collectif;1990;1;;Sciences Sociales;Sciences Sociales Fêtes, carnavals;"Catalogue de l'exposition présentée par les Archives Départementales des Deux-Sèvres - juillet - décembre 1990 : les réjouissances publiques à caractère laïc : 
- Fêtes républicaines, le 14 juillet, les visites officielles .
- Théâtre, concerts, artistes, sociétés théâtrales.
- Fêtes foraines, cirques, ménagerie.
- Fêtes sportives hippisme, gymnastique.
- Réjouissances et cavalcades, fêtes de charité, fête du travail.
- Fêtes traditionnelles locales, les Rosières, la Bachellerie.";
Livre;FL 936 4 GIO;Empruntable;Local;Préhistoire de la Bretagne;GIOT Pierre-Roland   L’HELGOUAC’H Jean   MONNIER Jean-Laurent;1979;1;;Géographie et Histoire;Régions celtiques jusqu'à 486. Gaule histoire ancienne et préhistoire de la France ;"« La Bretagne a été très fréquentée par les premiers hommes il y a quelques centaines de milliers d’années. La première partie de cet ouvrage fait connaître les conditions de leur existence jusqu’à il y a environ 7 000 ans.
Les deux autres parties concernent les trois millénaires suivants, le néolithique breton largement dominé par son aspect mégalithique.»";
Livre;FL 321 03 GAR;Empruntable;Local;LES CHATELAINS DE POITOU XIe et XIIe siècles;GARAUD Marcel;1965;1;VIII;Sciences Sociales;Types d'Etats et de gouvernements Empires;"Mémoires de la Société des Antiquaires de l’Ouest - 4eme série
« Les châtelains sont, aux XIe et XIIe siècles, la pierre angulaire du régime politique qui se constitua sur les ruines de l’empire carolingien.
Autour des châteaux se forma une société nouvelle. Les châtelains se sont emparés de la puissance publique : la force armée, la justice et le fisc . Pendant près de deux siècles, ils ont exercé un pouvoir presque souverain dans le district de leur château, sous la souveraineté des comtes de Poitou.
L’étude qui s’arrête vers 1150, à l’époque où décline l’indépendance des châtelains, est divisée en trois parties : le comte et les châtelains, le pouvoir des châtelains, la structure de la société et la seigneurie foncière. »";
Livre;FL 944 05 GAB;Empruntable;Local;NAPOLÉON ET LA VENDÉE;GABORY Émile;1932;5;;Géographie et Histoire;Premier Empire 1804-1815;"Lorsque Bonaparte devient Premier consul, la Vendée poursuit sa lutte contre les idées révolutionnaires et s'insurge pour une troisième guerre au début de l'an VIII, s'opposant à la levée de 300 000 soldats.
La Constitution de l'an VIII et le Concordat, la liberté du culte retrouvée favorisent le retour de la paix malgré quelques « dissidents » qui créent « la Petite Église ». 
La plupart des Vendéens se rallie à Napoléon : il développe l'instruction, crée des routes, améliore les ports, instaure une ville nouvelle, Napoléon-Ville, favorise l'économie... 
La disette de 1811, l'augmentation des impôts et la levée de masse pour les guerres extérieures provoquent le mécontentement des Vendéens. Pendant les Cent-Jours, Napoléon ne rencontre qu'un faible soutien en Vendée où les habitants accueillent favorablement la Restauration.";
Livre;708 CAB;Empruntable;Autre;Guide des MUSÉES de France;CABANNE Pierre;1987;3;;Arts;Galeries, musées, collections d'art;"En plus de 2000 pages, le « Guide des musées de France » recense, décrit et présente plus de 2 000 sites. 
Chaque  musée fait l'objet d'une notice descriptive indiquant son histoire, ses spécialités ainsi que les œuvres et collections remarquables qu'il contient. La répartition géographique est établie par régions et par départements, les villes et les musées classés par ordre alphabétique.";
Livre;FL 590 944 Bes;Empruntable;Local;Bestiaire Poitevin;Collectif – U.P.C.P.;1984;1;;Sciences Naturelle et Mathématiques;Animaux. Histoire et traitement géographique des animaux en France;"""Expression traditionnelle - Expression contemporaine""
- Les animaux dans le milieu physique, écologie, élevage. 
- L'animal et ses représentations.
- L'animal et l'inconscient : littérature orale et vécu social.";
Livre;940 1 TOM;Empruntable;Autre;Le haut Moyen Âge;Collectif;1990;?;;Géographie et Histoire;Moyen Age;"Édition Rolf Toman
Le Haut Moyen-Âge - Exploration d'une époque reculée de l'an 1000 à l'an 1300
Traduction française de l'édition allemande. 
- Modes de vie de la société d'ordres - Royauté et noblesse : le fragile équilibre des forces - Formes de vie économique - L’ère de la chrétienté : aspects de la vie des chrétiens - Les beaux-arts - Le geste d'Arthur et le minnesang : la littérature allemande - Mentalité et conscience des hommes - 
Volume enrichi de très nombreuses reproductions et photographies.";
Livre;FL 385 HAR;Empruntable;Local;LA VENDÉE DES PETITS TRAINS;HAROUY Michel;1987;1;;Sciences Sociales;Transports ferroviaires;"Le siècle des petits trains.
""A la fin du XIXe et au début du XXe siècle, c'est la puissante Compagnie de l'État qui constitue et exploite le réseau local vendéen sous le prête-nom de sa filiale la Compagnie des Tramways de la Vendée. 
Enrichi de nombreuses photographies, de plans, de tableaux, de cartes et de schémas, l'ouvrage de Michel Harouy met en lumière cette épopée."" ";
Livre;FL 553 6 LEM;Empruntable;Local;paludiers de guérande;LEMONNIER Pierre;1984;1;;Sciences Naturelle et Mathématiques;Matières terreuses et autres matériaux;"L'ouvrage de Pierre Lemonnier comprend deux parties : 
Prenant en compte les objets et moyens de production, les processus et les connaissances spécifiques, la première partie concerne la description de la technique de production de sel et les relations sociales qu'elle implique. 
La seconde partie couvre l'histoire économique récente du marais de Guérande de la Révolution à l'époque contemporaine.";
Livre;FL 726 5 SAI;Empruntable;Local;l’église de Combrand;SAINT-DIDIER Guillaume;2006;1;;Arts;Edifices religieux Eglises chrétiennes;"Dix siècles d’histoire XIe - XXIe siècles
« L'église de Combrand, dix siècles d'histoire est un ouvrage qui raconte l'histoire d'une église du Nord du département des Deux-Sèvres, au cœur du bocage bressuirais.
D'innombrables indices cachés dans les creux de ses façades révèlent son histoire durant laquelle elle a connu trois grandes phases de construction (XIe, XVIe, XIXe siècles). Ce livre, c'est aussi les rares traces du quotidien de cette paroisse depuis le XIe siècle, procès, inventaires...  Pour finir, cette église est replacée dans son contexte actuel. »";
Livre;FL 914 461 CAT;Empruntable;Local;Aimer la Vendée;CATHERINE Cécile;1986;1;;Géographie et Histoire;Géographie Vendée;L'album de Cécile Catherine illustré de très nombreuses photographies invite à découvrir les sites et édifices remarquables des principales villes de Vendée classées par ordre alphabétique.;
Livre;FL 944 044 BON;Empruntable;Local;La Vendée en 1793;BONNEMÈRE Eugène;1866;2;;Géographie et Histoire;Terreur 1793-1794;"Première de couverture : République française - Liberté-Égalité-Fraternité - Ville de Paris - Fluctuat nec Mergitur - Prix Municipal. 
Eugène Bonnemère "" a raconté les principaux événements de l'insurrection vendéenne en 1793, c'est-à-dire pendant la période la plus courte de cette guerre impie, qui se prolongea jusqu'en 1796, jusqu'à la mort de Stofflet et de Charette. 
Ce premier acte d'un drame effroyable doit suffire pour inspirer à tous les partis l'horreur de ces luttes fratricides.""";
Livre;FL 944 62 LED;Empruntable;Local;HISTOIRE DE BRESSUIRE;LEDAIN Bélisaire;1977;2;;Géographie et Histoire;Histoire Deux-Sèvres;"Réimpression de l'édition de « l’Histoire de la ville de Bressuire » parue en 1880, deuxième édition revue, remaniée et très considérablement augmentée, suivie de l'histoire des guerres de la Vendée dans le district de Bressuire entre 1790 et 1800. 
Bélisaire Ledain relate l'histoire de la ville de Bressuire, du Moyen Age jusqu'à la fin du XIXe siècle. Il renseigne sur le développement de la ville, sur la puissance des Beaumont, seigneurs de Bressuire, sur la situation politique, juridique et religieuse de la cité avant la Révolution.";
